,radio,book,sandal,nut,thermostat,button,photocopier,wallet,airplane,bag
radio,,,,,,,,,,
book,82.0,,,,,,,,,
sandal,105.0,94.0,,,,,,,,
nut,90.0,91.0,82.0,,,,,,,
thermostat,81.0,99.0,95.0,79.0,,,,,,
button,78.0,86.0,85.0,79.0,72.0,,,,,
photocopier,95.0,93.0,106.0,102.0,85.0,93.0,,,,
wallet,87.0,81.0,66.0,80.0,90.0,67.0,85.0,,,
airplane,71.0,78.0,93.0,80.0,86.0,82.0,89.0,78.0,,
bag,86.0,76.0,66.0,67.0,87.0,68.0,95.0,31.0,73.0,
