,cake,mop,gang,keyboard,kindness,tablet,charger,scallop,bomb,love
cake,,,,,,,,,,
mop,80.0,,,,,,,,,
gang,83.0,83.0,,,,,,,,
keyboard,87.0,81.0,96.0,,,,,,,
kindness,81.0,98.0,87.0,94.0,,,,,,
tablet,83.0,88.0,100.0,55.0,98.0,,,,,
charger,90.0,85.0,91.0,68.0,105.0,68.0,,,,
scallop,67.0,74.0,96.0,95.0,99.0,97.0,101.0,,,
bomb,73.0,86.0,61.0,90.0,89.0,90.0,91.0,94.0,,
love,60.0,90.0,73.0,81.0,51.0,88.0,92.0,88.0,78.0,
