,apple,liver,robot,paper,spoon,shoe,deer,space,alcohol,wall
apple,,,,,,,,,,
liver,76.0,,,,,,,,,
robot,86.0,93.0,,,,,,,,
paper,81.0,89.0,85.0,,,,,,,
spoon,62.0,78.0,84.0,73.0,,,,,,
shoe,80.0,98.0,80.0,79.0,81.0,,,,,
deer,73.0,71.0,84.0,86.0,82.0,84.0,,,,
space,82.0,86.0,65.0,76.0,90.0,77.0,84.0,,,
alcohol,73.0,55.0,98.0,80.0,78.0,88.0,78.0,89.0,,
wall,79.0,80.0,78.0,69.0,79.0,71.0,76.0,54.0,87.0,
