,spaceship,flower,dinosaur,angel,calendar,rugby,lawn,axe,faucet,truck
spaceship,,,,,,,,,,
flower,88.0,,,,,,,,,
dinosaur,63.0,74.0,,,,,,,,
angel,75.0,60.0,74.0,,,,,,,
calendar,98.0,79.0,86.0,79.0,,,,,,
rugby,97.0,90.0,82.0,94.0,82.0,,,,,
lawn,91.0,57.0,80.0,85.0,83.0,81.0,,,,
axe,82.0,89.0,80.0,79.0,96.0,79.0,83.0,,,
faucet,94.0,81.0,96.0,88.0,95.0,101.0,75.0,93.0,,
truck,74.0,81.0,78.0,84.0,89.0,87.0,62.0,78.0,86.0,
