,computer,salmon,tree,pottery,student,boat,star,stage,aunt,boxcar
computer,,,,,,,,,,
salmon,95.0,,,,,,,,,
tree,79.0,76.0,,,,,,,,
pottery,90.0,83.0,75.0,,,,,,,
student,58.0,93.0,88.0,87.0,,,,,,
boat,78.0,64.0,73.0,77.0,84.0,,,,,
star,87.0,92.0,77.0,87.0,78.0,81.0,,,,
stage,80.0,93.0,79.0,90.0,77.0,80.0,70.0,,,
aunt,85.0,87.0,75.0,80.0,75.0,78.0,79.0,83.0,,
boxcar,107.0,95.0,92.0,88.0,107.0,81.0,105.0,99.0,95.0,
