,banana,electricity,table,water,elephant,truck,atoms,stars,heart,steel
banana,,,,,,,,,,
electricity,82.0,,,,,,,,,
table,77.0,83.0,,,,,,,,
water,68.0,50.0,72.0,,,,,,,
elephant,63.0,85.0,80.0,70.0,,,,,,
truck,79.0,75.0,79.0,71.0,74.0,,,,,
atoms,91.0,75.0,82.0,79.0,91.0,100.0,,,,
stars,87.0,93.0,87.0,89.0,83.0,90.0,81.0,,,
heart,81.0,85.0,81.0,71.0,71.0,84.0,89.0,76.0,,
steel,80.0,73.0,69.0,64.0,86.0,66.0,83.0,91.0,80.0,
